ID;H2_ANNUAL_STOCK;H2_NO_LIMIT;GISEMENTS;HYDRO_STOCK_REMAINING;FIRST_WEEK;Comment
ACC8BA95;true;false;true;true;40;
B939D933;true;false;true;true;1;
5BB0587E;true;false;true;true;1;
60193D33;true;false;true;true;1;
840364CB;true;false;true;true;1;
D8B55459;true;false;true;true;1;
45C8DE08;true;false;true;true;1;
FF793A9A;true;false;true;true;1;
5DF72A76;true;false;true;true;1;
C3357B0B;true;false;true;true;1;
