iteration;semaine_calendaire;temps_secondes;status
1;1;8.499841213226318;OPTIMAL
2;2;0.8391330242156982;OPTIMAL
3;3;0.8124330043792725;OPTIMAL
4;4;0.888300895690918;OPTIMAL
5;5;0.8326280117034912;OPTIMAL
6;6;1.725790023803711;OPTIMAL
7;7;0.609022855758667;OPTIMAL
8;8;0.6751828193664551;OPTIMAL
9;9;0.7493021488189697;OPTIMAL
10;10;0.9258818626403809;OPTIMAL
11;11;1.0261681079864502;OPTIMAL
12;12;0.7540531158447266;OPTIMAL
13;13;0.6654279232025146;OPTIMAL
14;14;0.7499740123748779;OPTIMAL
15;15;0.5796289443969727;OPTIMAL
16;16;0.7858350276947021;OPTIMAL
17;17;0.6918940544128418;OPTIMAL
18;18;0.6441469192504883;OPTIMAL
19;19;0.677556037902832;OPTIMAL
20;20;0.6159529685974121;OPTIMAL
21;21;0.6799790859222412;OPTIMAL
22;22;0.6002829074859619;OPTIMAL
23;23;0.7262377738952637;OPTIMAL
24;24;0.6780910491943359;OPTIMAL
25;25;0.6263389587402344;OPTIMAL
26;26;0.577009916305542;OPTIMAL
27;27;0.5810661315917969;OPTIMAL
28;28;0.5437231063842773;OPTIMAL
29;29;0.5992958545684814;OPTIMAL
30;30;0.5998921394348145;OPTIMAL
31;31;0.7699620723724365;OPTIMAL
32;32;0.6583080291748047;OPTIMAL
33;33;0.7884318828582764;OPTIMAL
34;34;0.6846320629119873;OPTIMAL
35;35;0.630634069442749;OPTIMAL
36;36;0.7083280086517334;OPTIMAL
37;37;0.5137271881103516;OPTIMAL
38;38;0.5213119983673096;OPTIMAL
39;39;0.6398241519927979;OPTIMAL
40;40;0.6851961612701416;OPTIMAL
41;41;0.6526291370391846;OPTIMAL
42;42;0.7134711742401123;OPTIMAL
43;43;0.6776292324066162;OPTIMAL
44;44;0.6385278701782227;OPTIMAL
45;45;0.5398509502410889;OPTIMAL
46;46;0.682063102722168;OPTIMAL
47;47;0.6510279178619385;OPTIMAL
48;48;0.6549220085144043;OPTIMAL
49;49;0.6689069271087646;OPTIMAL
50;50;0.455380916595459;OPTIMAL
51;51;0.49384498596191406;OPTIMAL
52;52;0.6082229614257812;OPTIMAL
