t;Solar;Onshore;Offshore;Battery_stock;Battery_charge;Battery_discharge;STEP_stock;STEP_charge;STEP_discharge;H2_CCG;H2_TAC;Hydro;H2_stock;Load;Defailance;Exces
1;0.0;643.39;72.61;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;850.0;1037.0;9.98798e6;7763.0;0.0;0.0
2;0.0;511.3;57.7;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;709.0;9.97596e6;7288.0;0.0;0.0
3;0.0;438.51;49.49;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;415.0;9.96394e6;6913.0;0.0;0.0
4;0.0;333.38;37.62;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;105.0;9.95192e6;6486.0;0.0;0.0
5;0.0;345.96;39.04;-0.0;0.0;0.0;0.0;111.0;0.0;5160.0;850.0;0.0;9.9399e6;6284.0;0.0;0.0
6;0.0;309.11;34.89;-0.0;0.0;0.0;83.25;73.0;0.0;5160.0;850.0;0.0;9.92788e6;6281.0;0.0;0.0
7;27.0;319.0;36.0;-0.0;0.0;0.0;138.0;0.0;13.0;5160.0;850.0;0.0;9.91586e6;6405.0;0.0;0.0
8;271.0;419.64;47.36;-0.0;0.0;0.0;125.0;6.0;0.0;5160.0;850.0;0.0;9.90384e6;6742.0;0.0;0.0
9;679.0;436.71;49.29;0.0;0.0;-0.0;129.5;0.0;129.5;5160.0;850.0;4.5;9.89182e6;7309.0;0.0;0.0
10;1180.0;391.78;44.22;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;188.0;9.8798e6;7814.0;0.0;0.0
11;1542.0;437.61;49.39;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;832.0;0.0;9.867816e6;8021.0;0.0;0.0
12;1751.0;598.46;67.54;-0.0;0.0;0.0;-0.0;-0.0;0.0;5160.0;652.0;0.0;9.856192e6;8229.0;0.0;0.0
13;1890.0;586.78;66.22;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;842.0;0.0;9.844188e6;8545.0;0.0;0.0
14;2011.0;761.11;85.89;-0.0;0.0;0.0;0.0;150.0;0.0;5160.0;340.0;0.0;9.833188e6;8208.0;0.0;0.0
15;2123.0;837.49;94.51;-0.0;0.0;0.0;112.5;574.0;0.0;5160.0;340.0;0.0;9.822188e6;7981.0;0.0;0.0
16;2034.0;835.69;94.31;-0.0;0.0;0.0;543.0;752.0;0.0;5160.0;340.0;0.0;9.811188e6;7712.0;0.0;0.0
17;1875.0;797.05;89.95;-0.0;0.0;0.0;1107.0;724.0;0.0;5160.0;340.0;0.0;9.800188e6;7538.0;0.0;0.0
18;1611.0;827.6;93.4;0.0;0.0;0.0;1650.0;673.67;0.0;5160.0;511.67;0.0;9.78884467e6;7530.0;0.0;0.0
19;1128.0;814.12;91.88;-0.0;0.0;0.0;2155.25;289.0;0.0;5160.0;850.0;0.0;9.77682467e6;7755.0;0.0;0.0
20;600.0;791.66;89.34;-0.0;0.0;-0.0;2372.0;0.0;262.0;5160.0;850.0;0.0;9.76480467e6;7753.0;0.0;0.0
21;211.0;817.72;92.28;-0.0;0.0;0.0;2110.0;0.0;278.0;5160.0;850.0;0.0;9.75278467e6;7409.0;0.0;0.0
22;30.0;899.49;101.51;-0.0;0.0;0.0;1832.0;0.0;191.0;5160.0;850.0;0.0;9.74076467e6;7232.0;0.0;0.0
23;0.0;984.85;111.15;-0.0;0.0;0.0;1641.0;0.0;674.0;5160.0;850.0;0.0;9.72874467e6;7780.0;0.0;0.0
24;0.0;1116.05;125.95;-0.0;0.0;0.0;967.0;0.0;768.0;5160.0;850.0;0.0;9.71672467e6;8020.0;0.0;0.0
25;0.0;1071.12;120.88;-0.0;0.0;0.0;199.0;0.0;199.0;5160.0;850.0;0.0;9.70470467e6;7401.0;0.0;0.0
26;0.0;1187.93;134.07;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;489.0;0.0;9.69340667e6;6971.0;0.0;0.0
27;0.0;1408.09;158.91;-0.0;0.0;0.0;-0.0;471.0;0.0;5160.0;340.0;0.0;9.68240667e6;6596.0;0.0;0.0
28;0.0;1347.88;152.12;-0.0;0.0;0.0;353.25;797.0;0.0;5160.0;306.0;0.0;9.67147467e6;6169.0;0.0;0.0
29;0.0;1222.08;137.92;0.0;0.0;-0.0;951.0;852.0;0.0;5160.0;272.0;0.0;9.66061067e6;5940.0;0.0;0.0
30;1.0;1258.92;142.08;-0.0;0.0;0.0;1590.0;950.0;0.0;5160.0;204.0;0.0;9.64988267e6;5816.0;0.0;0.0
31;55.0;1311.94;148.06;-0.0;0.0;-0.0;2302.5;1054.0;0.0;5160.0;136.0;0.0;9.63929067e6;5757.0;0.0;0.0
32;343.0;1364.06;153.94;-0.0;0.0;0.0;3093.0;1135.0;0.0;5160.0;102.0;0.0;9.62876667e6;5988.0;0.0;0.0
33;823.0;1296.66;146.34;-0.0;0.0;0.0;3944.25;1077.0;0.0;5160.0;102.0;0.0;9.61824267e6;6451.0;0.0;0.0
34;1428.0;1227.47;138.53;-0.0;0.0;0.0;4752.0;1077.0;0.0;5160.0;102.0;0.0;9.60771867e6;6979.0;0.0;0.0
35;1987.0;1273.3;143.7;-0.0;-0.0;0.0;5559.75;1200.0;0.0;5146.0;34.0;0.0;9.59735867e6;7384.0;0.0;0.0
36;2358.0;1585.11;178.89;-0.0;0.0;0.0;6459.75;1123.0;0.0;4730.0;0.0;0.0;9.58789867e6;7729.0;0.0;0.0
37;2599.0;1781.0;201.0;-0.0;0.0;0.0;7302.0;1172.0;0.0;4730.0;0.0;0.0;9.57843867e6;8139.0;0.0;0.0
38;2676.0;1822.34;205.66;0.0;0.0;-0.0;8181.0;1185.0;0.0;4300.0;0.0;0.0;9.56983867e6;7819.0;0.0;0.0
39;2597.0;1905.01;214.99;0.0;0.0;0.0;9069.75;1200.0;0.0;4060.0;0.0;0.0;9.56171867e6;7577.0;0.0;0.0
40;2430.0;1880.75;212.25;-0.0;0.0;0.0;9969.75;1200.0;0.0;4056.0;0.0;0.0;9.55360667e6;7379.0;0.0;0.0
41;2039.0;1985.88;224.12;-0.0;0.0;0.0;10869.75;1200.0;0.0;4232.0;0.0;0.0;9.54514267e6;7281.0;0.0;0.0
42;1625.0;2082.03;234.97;-0.0;-0.0;0.0;11769.75;1200.0;0.0;4610.0;0.0;0.0;9.53592267e6;7352.0;0.0;0.0
43;1068.0;1932.87;218.13;-0.0;0.0;-0.0;12669.75;965.0;0.0;5160.0;170.0;0.0;9.52526267e6;7584.0;0.0;0.0
44;552.0;1796.28;202.72;-0.0;0.0;0.0;13393.5;281.0;0.0;5160.0;340.0;0.0;9.51426267e6;7770.0;0.0;0.0
45;188.0;1747.76;197.24;-0.0;0.0;0.0;13604.25;0.0;0.0;5160.0;371.0;0.0;9.50320067e6;7664.0;0.0;0.0
46;30.0;1813.35;204.65;-0.0;0.0;0.0;13604.25;4.0;0.0;5160.0;340.0;0.0;9.49220067e6;7544.0;0.0;0.0
47;0.0;1665.98;188.02;-0.0;0.0;-0.0;13607.25;0.0;210.0;5160.0;850.0;0.0;9.48018067e6;8074.0;0.0;0.0
48;0.0;1851.09;208.91;-0.0;0.0;0.0;13397.25;0.0;108.0;5160.0;850.0;0.0;9.46816067e6;8178.0;0.0;0.0
49;0.0;1727.99;195.01;-0.0;0.0;0.0;13289.25;0.0;0.0;5160.0;422.0;0.0;9.45699667e6;7505.0;0.0;0.0
50;0.0;1636.33;184.67;-0.0;0.0;0.0;13289.25;211.0;0.0;5160.0;340.0;0.0;9.44599667e6;7110.0;0.0;0.0
51;0.0;1179.85;133.15;-0.0;0.0;0.0;13447.5;29.0;0.0;5160.0;340.0;0.0;9.43499667e6;6784.0;0.0;0.0
52;0.0;1079.21;121.79;-0.0;0.0;0.0;13469.25;260.0;0.0;5160.0;340.0;0.0;9.42399667e6;6441.0;0.0;0.0
53;0.0;1074.71;121.29;-0.0;0.0;0.0;13664.25;263.0;0.0;5160.0;340.0;0.0;9.41299667e6;6433.0;0.0;0.0
54;0.0;1030.68;116.32;-0.0;0.0;0.0;13861.5;0.0;0.0;5160.0;484.0;0.0;9.40170867e6;6791.0;0.0;0.0
55;42.0;978.56;110.44;-0.0;0.0;0.0;13861.5;0.0;340.0;5160.0;850.0;0.0;9.38968867e6;7481.0;0.0;0.0
56;259.0;912.07;102.93;-0.0;0.0;0.0;13521.5;0.0;1081.0;5160.0;850.0;0.0;9.37766867e6;8365.0;0.0;0.0
57;666.0;927.34;104.66;-0.0;0.0;-0.0;12440.5;0.0;1200.0;5160.0;850.0;57.0;9.36564867e6;8965.0;0.0;0.0
58;1195.0;901.28;101.72;-0.0;0.0;0.0;11240.5;0.0;1186.0;5160.0;850.0;0.0;9.35362867e6;9394.0;0.0;0.0
59;1651.0;961.49;108.51;-0.0;0.0;0.0;10054.5;0.0;914.0;5160.0;850.0;0.0;9.34160867e6;9645.0;0.0;0.0
60;1994.0;1050.45;118.55;-0.0;0.0;0.0;9140.5;0.0;693.0;5160.0;850.0;0.0;9.32958867e6;9866.0;0.0;0.0
61;2224.0;1234.66;139.34;-0.0;0.0;0.0;8447.5;0.0;421.0;5160.0;850.0;0.0;9.31756867e6;10029.0;0.0;0.0
62;2345.0;1201.41;135.59;-0.0;0.0;0.0;8026.5;0.0;243.0;5160.0;850.0;0.0;9.30554867e6;9935.0;0.0;0.0
63;2412.0;1290.37;145.63;-0.0;0.0;0.0;7783.5;0.0;57.0;5160.0;850.0;0.0;9.29352867e6;9915.0;0.0;0.0
64;2293.0;1328.11;149.89;-0.0;0.0;0.0;7726.5;106.0;0.0;5160.0;850.0;0.0;9.28150867e6;9675.0;0.0;0.0
65;2117.0;1231.07;138.93;-0.0;0.0;0.0;7806.0;41.0;0.0;5160.0;850.0;0.0;9.26948867e6;9456.0;0.0;0.0
66;1752.0;1045.06;117.94;-0.0;0.0;0.0;7836.75;0.0;379.0;5160.0;850.0;0.0;9.25746867e6;9304.0;0.0;0.0
67;1243.0;849.17;95.83;-0.0;0.0;0.0;7457.75;0.0;1158.0;5160.0;850.0;0.0;9.24544867e6;9356.0;0.0;0.0
68;688.0;650.58;73.42;-0.0;0.0;0.0;6299.75;0.0;1200.0;5160.0;850.0;605.0;9.23342867e6;9227.0;0.0;0.0
69;245.0;472.66;53.34;-0.0;0.0;0.0;5099.75;0.0;1200.0;5160.0;850.0;704.0;9.22140867e6;8685.0;0.0;0.0
70;27.0;423.24;47.76;-0.0;0.0;0.0;3899.75;0.0;1200.0;5160.0;850.0;657.0;9.20938867e6;8365.0;0.0;0.0
71;0.0;362.13;40.87;-0.0;0.0;0.0;2699.75;0.0;1200.0;5160.0;850.0;1196.0;9.19736867e6;8809.0;0.0;0.0
72;0.0;368.42;41.58;0.0;0.0;-0.0;1499.75;0.0;1200.0;5160.0;850.0;1212.0;9.18534867e6;8832.0;0.0;0.0
73;0.0;387.29;43.71;-0.0;0.0;0.0;299.75;0.0;299.75;5160.0;850.0;1345.25;9.17332867e6;8086.0;0.0;0.0
74;0.0;330.68;37.32;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;850.0;1266.0;9.16130867e6;7644.0;0.0;0.0
75;0.0;432.22;48.78;-0.0;0.0;0.0;-0.0;0.0;-0.0;5160.0;850.0;830.0;9.14928867e6;7321.0;0.0;0.0
76;0.0;466.37;52.63;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;419.0;9.13726867e6;6948.0;0.0;0.0
77;0.0;434.02;48.98;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;368.0;9.12524867e6;6861.0;0.0;0.0
78;1.0;483.44;54.56;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;579.0;9.11322867e6;7128.0;0.0;0.0
79;52.0;560.72;63.28;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1047.0;9.10120867e6;7733.0;0.0;0.0
80;347.0;608.34;68.66;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1519.0;9.08918867e6;8553.0;0.0;0.0
81;812.0;673.94;76.06;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1596.0;9.07716867e6;9168.0;0.0;0.0
82;1399.0;823.11;92.89;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;1250.0;9.06514867e6;9575.0;0.0;0.0
83;1941.0;942.62;106.38;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;806.0;9.05312867e6;9806.0;0.0;0.0
84;2348.0;1075.61;121.39;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;482.0;9.04110867e6;10037.0;0.0;0.0
85;2634.0;1163.67;131.33;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;210.0;9.02908867e6;10149.0;0.0;0.0
86;2759.0;1456.61;164.39;-0.0;0.0;0.0;0.0;0.0;0.0;5160.0;502.0;0.0;9.01776467e6;10042.0;0.0;0.0
87;2698.0;1639.93;185.07;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;364.0;0.0;9.00671667e6;10047.0;0.0;0.0
88;2524.0;1858.28;209.72;-0.0;0.0;0.0;-0.0;257.67;0.0;5160.0;347.67;0.0;8.99570133e6;9842.0;0.0;0.0
89;2196.0;1945.45;219.55;-0.0;0.0;0.0;193.25;723.0;0.0;5160.0;850.0;0.0;8.98368133e6;9648.0;0.0;0.0
90;1727.0;2076.64;234.36;-0.0;0.0;0.0;735.5;538.0;0.0;5160.0;850.0;0.0;8.97166133e6;9510.0;0.0;0.0
91;1168.0;1825.93;206.07;0.0;0.0;-0.0;1139.0;0.0;340.0;5160.0;850.0;0.0;8.95964133e6;9550.0;0.0;0.0
92;596.0;2035.3;229.7;-0.0;0.0;-0.0;799.0;0.0;533.0;5160.0;850.0;0.0;8.94762133e6;9404.0;0.0;0.0
93;200.0;2224.91;251.09;-0.0;0.0;0.0;266.0;0.0;145.0;5160.0;850.0;0.0;8.93560133e6;8831.0;0.0;0.0
94;22.0;2318.36;261.64;-0.0;0.0;0.0;121.0;122.0;0.0;5160.0;850.0;0.0;8.92358133e6;8490.0;0.0;0.0
95;0.0;2370.48;267.52;-0.0;0.0;-0.0;212.5;0.0;212.5;5160.0;850.0;91.5;8.91156133e6;8952.0;0.0;0.0
96;0.0;2556.49;288.51;-0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;105.0;8.89954133e6;8960.0;0.0;0.0
97;0.0;2491.79;281.21;-0.0;0.0;0.0;0.0;126.0;0.0;5160.0;340.0;0.0;8.88854133e6;8147.0;0.0;0.0
98;0.0;2131.45;240.55;-0.0;0.0;0.0;94.5;670.0;0.0;5160.0;850.0;0.0;8.87652133e6;7712.0;0.0;0.0
99;0.0;1925.68;217.32;-0.0;0.0;0.0;597.0;755.0;0.0;5160.0;850.0;0.0;8.86450133e6;7398.0;0.0;0.0
100;0.0;1506.93;170.07;-0.0;0.0;0.0;1163.25;649.0;0.0;5160.0;850.0;0.0;8.85248133e6;7038.0;0.0;0.0
101;0.0;1495.25;168.75;0.0;0.0;0.0;1650.0;708.0;0.0;5160.0;850.0;0.0;8.84046133e6;6966.0;0.0;0.0
102;0.0;1350.58;152.42;-0.0;0.0;0.0;2181.0;278.0;0.0;5160.0;850.0;0.0;8.82844133e6;7235.0;0.0;0.0
103;28.0;1239.15;139.85;-0.0;0.0;-0.0;2389.5;0.0;421.0;5160.0;850.0;0.0;8.81642133e6;7838.0;0.0;0.0
104;191.0;1212.2;136.8;-0.0;0.0;0.0;1968.5;0.0;1129.0;5160.0;850.0;0.0;8.80440133e6;8679.0;0.0;0.0
105;470.0;1154.69;130.31;-0.0;0.0;-0.0;839.5;0.0;839.5;5160.0;850.0;688.5;8.79238133e6;9293.0;0.0;0.0
106;786.0;1206.81;136.19;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1565.0;8.78036133e6;9704.0;0.0;0.0
107;911.0;1152.89;130.11;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1720.0;8.76834133e6;9924.0;0.0;0.0
108;1041.0;1188.83;134.17;0.0;0.0;-0.0;-0.0;0.0;0.0;5160.0;850.0;1744.0;8.75632133e6;10118.0;0.0;0.0
109;1057.0;1261.62;142.38;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1705.0;8.74430133e6;10176.0;0.0;0.0
110;1105.0;1181.64;133.36;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1576.0;8.73228133e6;10006.0;0.0;0.0
111;1146.0;1078.31;121.69;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1570.0;8.72026133e6;9926.0;0.0;0.0
112;1135.0;1249.04;140.96;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1098.0;8.70824133e6;9633.0;0.0;0.0
113;1023.0;1241.85;140.15;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;945.0;8.69622133e6;9360.0;0.0;0.0
114;856.0;1155.59;130.41;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1015.0;8.68420133e6;9167.0;0.0;0.0
115;583.0;1236.46;139.54;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1255.0;8.67218133e6;9224.0;0.0;0.0
116;335.0;1069.32;120.68;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1563.0;8.66016133e6;9098.0;0.0;0.0
117;104.0;1001.03;112.97;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1300.0;8.64814133e6;8528.0;0.0;0.0
118;13.0;1007.32;113.68;0.0;0.0;-0.0;-0.0;0.0;0.0;5160.0;850.0;1022.0;8.63612133e6;8166.0;0.0;0.0
119;0.0;843.78;95.22;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1651.0;8.62410133e6;8600.0;0.0;0.0
120;0.0;727.86;82.14;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1855.0;8.61208133e6;8675.0;0.0;0.0
121;0.0;758.41;85.59;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1076.0;8.60006133e6;7930.0;0.0;0.0
122;0.0;617.33;69.67;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;799.0;8.58804133e6;7496.0;0.0;0.0
123;0.0;496.02;55.98;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;618.0;8.57602133e6;7180.0;0.0;0.0
124;0.0;432.22;48.78;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;319.0;8.56400133e6;6810.0;0.0;0.0
125;0.0;422.34;47.66;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;247.0;8.55198133e6;6727.0;0.0;0.0
126;0.0;415.15;46.85;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;538.0;8.53996133e6;7010.0;0.0;0.0
127;25.0;398.97;45.03;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1150.0;8.52794133e6;7629.0;0.0;0.0
128;158.0;547.24;61.76;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;1657.0;8.51592133e6;8434.0;0.0;0.0
129;397.0;637.1;71.9;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;1926.0;8.50390133e6;9042.0;0.0;0.0
130;646.0;700.9;79.1;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1979.0;8.49188133e6;9415.0;0.0;0.0
131;744.0;712.58;80.42;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;2047.0;8.47986133e6;9594.0;0.0;0.0
132;848.0;682.93;77.07;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;2154.0;8.46784133e6;9772.0;0.0;0.0
133;899.0;721.57;81.43;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;2114.0;8.45582133e6;9826.0;0.0;0.0
134;977.0;757.51;85.49;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1816.0;8.44380133e6;9646.0;0.0;0.0
135;1036.0;742.23;83.77;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1655.0;8.43178133e6;9527.0;0.0;0.0
136;1038.0;848.27;95.73;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1231.0;8.41976133e6;9223.0;0.0;0.0
137;1050.0;787.16;88.84;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1026.0;8.40774133e6;8962.0;0.0;0.0
138;875.0;944.42;106.58;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;869.0;8.39572133e6;8805.0;0.0;0.0
139;662.0;967.78;109.22;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1202.0;8.38370133e6;8951.0;0.0;0.0
140;369.0;989.35;111.65;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1418.0;8.37168133e6;8898.0;0.0;0.0
141;121.0;931.84;105.16;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1186.0;8.35966133e6;8354.0;0.0;0.0
142;22.0;899.49;101.51;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;966.0;8.34764133e6;7999.0;0.0;0.0
143;0.0;1015.41;114.59;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1294.0;8.33562133e6;8434.0;0.0;0.0
144;0.0;996.54;112.46;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1436.0;8.32360133e6;8555.0;0.0;0.0
145;0.0;981.26;110.74;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;836.0;8.31158133e6;7938.0;0.0;0.0
146;0.0;1111.55;125.45;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;260.0;8.29956133e6;7507.0;0.0;0.0
147;0.0;1027.99;116.01;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;37.0;8.28754133e6;7191.0;0.0;0.0
148;0.0;947.11;106.89;0.0;0.0;0.0;0.0;245.0;0.0;5160.0;850.0;0.0;8.27552133e6;6819.0;0.0;0.0
149;0.0;987.55;111.45;-0.0;0.0;0.0;183.75;377.0;0.0;5160.0;850.0;0.0;8.26350133e6;6732.0;0.0;0.0
150;0.0;1096.28;123.72;-0.0;0.0;0.0;466.5;186.0;0.0;5160.0;850.0;0.0;8.25148133e6;7044.0;0.0;0.0
151;35.0;1136.72;128.28;-0.0;0.0;-0.0;606.0;0.0;345.0;5160.0;850.0;0.0;8.23946133e6;7655.0;0.0;0.0
152;203.0;1151.09;129.91;-0.0;0.0;0.0;261.0;0.0;261.0;5160.0;850.0;677.0;8.22744133e6;8432.0;0.0;0.0
153;596.0;1381.13;155.87;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;882.0;8.21542133e6;9025.0;0.0;0.0
154;1016.0;1347.88;152.12;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;867.0;8.20340133e6;9393.0;0.0;0.0
155;1332.0;1333.51;150.49;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;715.0;8.19138133e6;9541.0;0.0;0.0
156;1582.0;1254.43;141.57;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;683.0;8.17936133e6;9671.0;0.0;0.0
157;1648.0;1228.37;138.63;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;700.0;8.16734133e6;9725.0;0.0;0.0
158;1723.0;1134.92;128.08;0.0;0.0;-0.0;-0.0;0.0;0.0;5160.0;850.0;492.0;8.15532133e6;9488.0;0.0;0.0
159;1785.0;1011.81;114.19;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;389.0;8.14330133e6;9310.0;0.0;0.0
160;1758.0;966.88;109.12;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;132.0;8.13128133e6;8976.0;0.0;0.0
161;1673.0;950.71;107.29;-0.0;0.0;0.0;0.0;57.0;0.0;5160.0;850.0;0.0;8.11926133e6;8684.0;0.0;0.0
162;1367.0;881.52;99.48;-0.0;0.0;0.0;42.75;0.0;42.75;5160.0;850.0;169.25;8.10724133e6;8570.0;0.0;0.0
163;969.0;971.37;109.63;-0.0;0.0;0.0;0.0;0.0;-0.0;5160.0;850.0;618.0;8.09522133e6;8678.0;0.0;0.0
164;494.0;970.48;109.52;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;935.0;8.08320133e6;8519.0;0.0;0.0
165;169.0;877.02;98.98;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;904.0;8.07118133e6;8059.0;0.0;0.0
166;22.0;780.87;88.13;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;877.0;8.05916133e6;7778.0;0.0;0.0
167;0.0;685.62;77.38;-0.0;0.0;0.0;-0.0;0.0;0.0;5160.0;850.0;1509.0;8.04714133e6;8282.0;0.0;0.0
168;0.0;584.08;65.92;0.0;0.0;-0.0;0.0;0.0;-0.0;5160.0;850.0;1771.0;8.03512133e6;8431.0;0.0;0.0
169;0.0;584.08;65.92;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;850.0;1121.0;7.75011533e6;7781.0;0.0;0.0
170;0.0;522.08;58.92;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;595.0;967.0;7.73860533e6;7303.0;0.0;0.0
171;0.0;457.38;51.62;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;425.0;826.0;7.72743533e6;6920.0;0.0;0.0
172;0.0;546.34;61.66;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;680.0;29.0;7.71575533e6;6477.0;0.0;0.0
173;0.0;482.54;54.46;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;577.0;0.0;7.70428133e6;6274.0;0.0;0.0
174;0.0;478.95;54.05;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;588.0;0.0;7.69278533e6;6281.0;0.0;0.0
175;35.0;559.82;63.18;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;586.0;0.0;7.68129333e6;6404.0;0.0;0.0
176;232.0;550.84;62.16;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;719.0;0.0;7.66953533e6;6724.0;0.0;0.0
177;601.0;613.74;69.26;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;847.0;0.0;7.65752133e6;7291.0;0.0;0.0
178;1072.0;708.09;79.91;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;765.0;10.0;7.64567133e6;7795.0;0.0;0.0
179;1301.0;792.56;89.44;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;672.0;0.0;7.63400733e6;8015.0;0.0;0.0
180;1528.0;847.37;95.63;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;510.0;26.0;7.62266733e6;8167.0;0.0;0.0
181;1638.0;868.94;98.06;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;659.0;0.0;7.61102933e6;8424.0;0.0;0.0
182;1717.0;859.95;97.05;0.0;0.0;0.0;0.0;0.0;0.0;5160.0;230.0;0.0;7.60024933e6;8064.0;0.0;0.0
183;1818.0;801.54;90.46;0.0;0.0;0.0;0.0;101.0;0.0;5160.0;0.0;0.0;7.58992933e6;7769.0;0.0;0.0
184;1770.0;840.18;94.82;0.0;0.0;0.0;75.75;415.0;0.0;5160.0;0.0;0.0;7.57960933e6;7450.0;0.0;0.0
185;1645.0;873.43;98.57;0.0;0.0;0.0;387.0;541.0;0.0;5160.0;0.0;0.0;7.56928933e6;7236.0;0.0;0.0
