Nucléaire ;Charbon ;Gaz semi-base ;Gaz pointe ;Fioul ;Hydro ;STEP pompage ;STEP turbinage ;Batterie injection ;Batterie soutirage ;RES ;load ;Net load 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 673.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2773 ;  9646 ; 6873 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 512.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2815 ;  9527 ; 6712 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 88.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2935 ;  9223 ; 6288 
6086.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2876 ;  8962 ; 6086 
5932.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2873 ;  8805 ; 5932 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 69.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2682 ;  8951 ; 6269 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 304.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2394 ;  8898 ; 6504 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 85.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2069 ;  8354 ; 6285 
6072.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1927 ;  7999 ; 6072 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 203.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2031 ;  8434 ; 6403 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 356.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1999 ;  8555 ; 6556 
5956.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1982 ;  7938 ; 5956 
5381.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2126 ;  7507 ; 5381 
5161.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2030 ;  7191 ; 5161 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3019.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1940 ;  6819 ; 4879 
4742.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1990 ;  6732 ; 4742 
4923.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2121 ;  7044 ; 4923 
5417.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2238 ;  7655 ; 5417 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4126.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2446 ;  8432 ; 5986 
5922.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3103 ;  9025 ; 5922 
5909.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3484 ;  9393 ; 5909 
5759.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3782 ;  9541 ; 5759 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3868.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3943 ;  9671 ; 5728 
5750.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3975 ;  9725 ; 5750 
5547.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3941 ;  9488 ; 5547 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3584.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3866 ;  9310 ; 5444 
5187.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3789 ;  8976 ; 5187 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 3141.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3683 ;  8684 ; 5001 
5273.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;3297 ;  8570 ; 5273 
5683.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2995 ;  8678 ; 5683 
6019.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2500 ;  8519 ; 6019 
6001.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;2058 ;  8059 ; 6001 
1860.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 4121.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1797 ;  7778 ; 5981 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 417.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1665 ;  8282 ; 6617 
6200.0 ; 0.0 ; 0.0 ; 0.0 ; 0.0 ; 689.0 ;0.0 ; 0.0 ;0.0 ; 0.0 ;1542 ;  8431 ; 6889 
