Heure;Nucléaire;Charbon;Gaz semi-base;Gaz pointe;Fioul;Hydro;STEP pompage;STEP turbinage;Batterie injection;Batterie soutirage;Load
67;6200.0;0.0;0.0;0.0;0.0;0.0;158.0;0.0;0.0;0.0;10332
68;6200.0;0.0;0.0;0.0;0.0;0.0;614.0;0.0;0.0;0.0;9978
69;6200.0;0.0;0.0;0.0;0.0;0.0;430.0;0.0;0.0;0.0;10241
70;6200.0;0.0;0.0;0.0;0.0;0.0;169.0;0.0;0.0;0.0;10482
71;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;117.0;0.0;0.0;10780
72;6200.0;0.0;0.0;0.0;0.0;0.0;208.0;0.0;0.0;0.0;10471
73;6200.0;0.0;0.0;0.0;0.0;0.0;530.0;0.0;0.0;0.0;10104
74;6001.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9517
75;5458.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9148
76;5506.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9079
77;5605.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9119
78;5826.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9135
79;6200.0;0.0;0.0;0.0;0.0;0.0;1168.0;0.0;0.0;0.0;9300
80;6200.0;0.0;0.0;0.0;0.0;0.0;366.0;0.0;0.0;0.0;9662
81;6200.0;0.0;0.0;0.0;0.0;0.0;77.0;0.0;0.0;0.0;10107
82;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;182.0;0.0;0.0;10467
83;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;784.0;0.0;0.0;10888
84;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;291.0;0.0;0.0;10502
85;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;162.0;0.0;0.0;10088
86;6200.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;9837
87;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;91.0;0.0;0.0;9767
88;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;698.0;0.0;0.0;10356
89;6200.0;0.0;0.0;0.0;0.0;60.0;0.0;1200.0;0.0;0.0;10841
90;6200.0;0.0;0.0;0.0;0.0;143.0;0.0;1200.0;0.0;0.0;10887
91;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;704.0;0.0;0.0;10497
92;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;0.0;0.0;9983
93;6200.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;10207
94;6200.0;0.0;0.0;0.0;0.0;0.0;0.0;195.0;0.0;0.0;10424
95;6200.0;0.0;0.0;0.0;0.0;0.0;823.0;0.0;0.0;0.0;9847
96;6090.0;0.0;0.0;0.0;0.0;0.0;1200.0;0.0;0.0;0.0;9506
